Date	Consumption
Jul-09	5,949,506
Aug-09	6,259,066
Sep-09	6,465,422
Oct-09	6,371,674
Nov-09	7,046,969
Dec-09	6,119,164
Jan-10	6,433,561
Feb-10	6,193,692
Mar-10	5,958,826
Apr-10	6,103,416
May-10	6,213,849
Jun-10	6,461,058
Jul-10	6,294,600
Aug-10	6,622,166
Sep-10	6,481,903
Oct-10	6,546,933
Nov-10	6,990,915
Dec-10	6,200,879
Jan-11	6,662,887
Feb-11	6,049,807
Mar-11	5,995,439
Apr-11	6,319,859
May-11	7,045,006
Jun-11	6,590,368
Jul-11	6,863,866
Aug-11	7,164,819
Sep-11	7,037,553
Oct-11	7,230,764
Nov-11	7,171,194
Dec-11	6,600,070
Jan-12	7,005,629
Feb-12	7,222,508
Mar-12	6,524,972
Apr-12	7,673,418
May-12	7,158,020
Jun-12	7,823,754
Jul-12	7,074,333
Aug-12	7,554,165
Sep-12	7,614,996
Oct-12	7,525,978
Nov-12	7,519,960
Dec-12	5,875,486
Jan-13	5,577,299
Feb-13	5,605,590
Mar-13	5,216,942
Apr-13	6,391,625
May-13	6,235,378
Jun-13	6,339,037
Jul-13	6,142,440
Aug-13	6,791,305
Sep-13	6,380,891
Oct-13	6,698,439
Nov-13	6,619,875
